type_school,school_accreditation,gender,interest,residence,parent_age,parent_salary,house_area,average_grades,parent_was_in_college,will_go_to_college
Academic,A,Male,Very Interested,Rural,51,5460000,80.6,85.23,False,False
Academic,A,Male,Interested,Urban,54,5670000,65.4,81.76,False,False
Academic,A,Female,Less Interested,Urban,46,4980000,47.8,84.72,False,False
Academic,B,Male,Uncertain,Rural,49,6910000,84.6,91.38,True,True
Academic,A,Female,Uncertain,Urban,51,5550000,68.2,87.61,False,True
Vocational,B,Female,Not Interested,Rural,49,5520000,65.3,87.58,True,True
Academic,B,Male,Uncertain,Rural,48,7310000,105.5,87.66,True,True
Academic,A,Female,Uncertain,Rural,53,5390000,47.1,81.0,True,False
Academic,A,Male,Very Interested,Rural,47,5840000,90.2,86.36,True,False
Vocational,B,Female,Not Interested,Rural,55,4450000,77.4,84.93,True,False
Academic,B,Female,Very Interested,Rural,48,3440000,58.3,84.07,True,False
Academic,A,Female,Very Interested,Urban,53,3310000,66.6,83.14,False,False
Vocational,B,Female,Not Interested,Rural,53,4110000,73.2,85.7,True,False
Academic,A,Female,Very Interested,Urban,56,3380000,69.1,84.06,False,False
Vocational,A,Male,Less Interested,Urban,54,6530000,66.6,89.2,False,True
Academic,B,Male,Very Interested,Urban,54,4120000,80.8,92.07,False,True
Vocational,B,Male,Very Interested,Rural,51,5310000,70.9,83.42,True,False
Academic,A,Male,Less Interested,Urban,55,4880000,95.1,90.47,False,True
Academic,B,Female,Less Interested,Urban,55,5780000,85.1,85.9,True,True
Vocational,A,Female,Interested,Urban,47,6410000,20.0,81.46,False,False
Vocational,A,Male,Very Interested,Urban,59,3800000,66.6,82.98,False,False
Academic,A,Male,Interested,Urban,60,3860000,70.5,84.83,False,False
Academic,A,Female,Very Interested,Urban,56,3390000,80.5,84.04,False,False
Academic,B,Male,Less Interested,Rural,47,5100000,40.6,82.32,True,False
Vocational,A,Female,Uncertain,Rural,50,6920000,91.5,90.79,True,True
Academic,B,Female,Very Interested,Urban,55,2920000,67.0,82.93,True,False
Academic,B,Male,Less Interested,Rural,46,4010000,58.5,84.11,True,False
Academic,A,Female,Very Interested,Urban,53,4510000,66.7,87.71,False,False
Vocational,A,Male,Less Interested,Rural,48,5750000,66.9,82.11,False,False
Academic,B,Female,Very Interested,Urban,54,5250000,69.6,84.81,True,True
Vocational,A,Male,Very Interested,Urban,53,4360000,75.2,83.29,False,False
Vocational,A,Female,Very Interested,Rural,51,5940000,62.8,82.23,False,False
Academic,B,Female,Less Interested,Urban,52,3640000,59.4,84.59,True,False
Vocational,B,Male,Interested,Urban,58,5060000,48.4,86.75,False,False
Academic,B,Female,Very Interested,Urban,54,5560000,79.9,83.41,True,True
Academic,A,Male,Uncertain,Rural,54,8650000,76.7,90.03,True,True
Academic,B,Female,Less Interested,Rural,40,3810000,44.7,81.0,True,False
Vocational,B,Male,Uncertain,Rural,52,6450000,65.1,86.14,True,False
Academic,A,Male,Not Interested,Rural,53,5810000,107.1,88.37,True,True
Academic,B,Female,Uncertain,Rural,50,6250000,79.9,90.96,True,True
Vocational,A,Female,Uncertain,Urban,52,4740000,76.0,79.11,False,True
Academic,A,Female,Less Interested,Urban,52,3260000,57.1,80.26,False,False
Academic,A,Male,Less Interested,Urban,50,4660000,51.1,85.87,False,False
Vocational,A,Male,Very Interested,Rural,51,5140000,67.6,83.26,False,False
Vocational,B,Male,Uncertain,Rural,52,6230000,84.4,86.39,True,False
Academic,B,Male,Less Interested,Urban,46,3800000,57.4,84.84,True,False
Academic,B,Female,Uncertain,Rural,51,5630000,93.5,85.19,True,True
Academic,B,Female,Very Interested,Urban,55,6340000,91.6,90.95,False,True
Academic,A,Male,Less Interested,Urban,51,4860000,54.3,84.33,False,False
Academic,B,Female,Very Interested,Urban,54,7570000,71.3,88.33,True,True
Academic,B,Female,Very Interested,Rural,51,5950000,86.2,88.76,True,True
Vocational,A,Female,Not Interested,Urban,52,5240000,60.2,91.2,True,True
Vocational,B,Female,Not Interested,Rural,52,5480000,56.1,90.51,True,True
Vocational,B,Female,Very Interested,Rural,43,6800000,76.2,82.62,True,False
Academic,B,Male,Less Interested,Urban,55,6490000,72.5,84.22,False,False
Academic,A,Female,Less Interested,Urban,47,4600000,52.7,83.92,True,False
Academic,B,Female,Very Interested,Rural,52,5500000,97.7,85.13,True,True
Academic,A,Male,Very Interested,Urban,57,6690000,89.8,89.87,False,True
Academic,B,Male,Uncertain,Rural,52,5090000,96.2,82.28,True,True
Academic,B,Female,Very Interested,Rural,46,3470000,61.2,83.73,True,False
Academic,A,Female,Less Interested,Urban,50,6840000,53.5,81.78,False,False
Vocational,B,Male,Less Interested,Rural,48,4640000,51.7,85.14,True,False
Academic,A,Female,Uncertain,Urban,50,5580000,62.4,89.9,False,True
Vocational,B,Female,Uncertain,Rural,49,6740000,81.5,89.87,True,False
Academic,A,Female,Uncertain,Rural,52,6450000,82.3,88.27,True,True
Academic,B,Female,Very Interested,Rural,43,3800000,48.5,79.1,True,False
Vocational,A,Female,Very Interested,Rural,50,6400000,81.3,85.36,False,True
Academic,A,Female,Less Interested,Urban,50,4640000,50.8,83.92,False,False
Academic,A,Female,Less Interested,Rural,46,5570000,35.2,82.31,False,False
Academic,B,Male,Not Interested,Urban,56,6090000,75.8,85.13,False,True
Academic,B,Female,Less Interested,Urban,57,3070000,75.8,85.02,False,False
Academic,A,Male,Less Interested,Urban,57,3370000,71.6,84.67,False,False
