PRODUCT;AGE;AREA;RESIDENTIAL_PLACE;EDUCATION;MARITAL_STATUS;HOUSEHOLD_MEMBERS;NO_OF_DEPENDENTS;INCOME;WORK_SENIORITY;BUSINESS AGE;ECONOMIC_SECTOR;EMPLOYEE_NO;LENGTH_RELATIONSHIP_WITH_CLIENT;DEBIT_CARD;CURRENT_ACCOUNT;SAVING_ACCOUNT;SALARY_ACCOUNT;FOREIGN_ACCOUNT;FINALIZED_LOAN;DEPOSIT;PENSION_FUNDS;DEFAULT_FLAG
C;40;County capital;Living with family;Post secondary school;single;1;0;1180.0;4;12;Manufacturing;between 0-10;1;False;0;0;0;0;0;0;0;0
B;47;County capital;Owner without mortgage;University;divorced;1;0;5716.0;25;16;Financial and insurance activities;between 501-1.000;12;False;0;0;0;0;0;0;0;0
F;32;County capital;Living with family;Highschool;married;3;1;1151.0;4;4;Construction;between 0-10;1;False;0;0;0;0;0;0;0;0
B;41;County capital;Owner without mortgage;Highschool;single;1;0;815.0;13;16;Education;> 1.000;9;False;0;0;0;0;0;0;0;0
C;29;Urban area;Living with family;College;married;2;0;1045.1;2;9;Manufacturing;between 501-1.000;1;True;1;0;0;0;0;0;0;0
C;43;County capital;Owner without mortgage;University;married;3;1;2850.37;17;17;Water supply;between 501-1.000;11;False;0;0;0;0;1;0;0;0
C;32;County capital;Owner without mortgage;University;married;3;1;1259.2;9;17;Public administration and defence;between 251-500;8;False;0;0;0;0;1;0;0;0
B;47;Rural area;Living with family;Other;married;2;0;702.0;4;47;Public administration and defence;between 21-50;12;False;0;0;0;0;1;0;0;0
C;46;Urban area;Other;University;divorced;1;0;1637.0;7;11;Wholesale and retail trade;between 51-100;1;True;1;0;0;0;0;0;0;0
B;46;Rural area;Owner without mortgage;Vocational school;married;3;1;2233.17;7;18;Mining and quarrying;> 1.000;14;False;0;0;0;0;0;0;0;0
C;66;County capital;Owner without mortgage;University;married;2;0;2313.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
F;44;County capital;Owner without mortgage;Post-graduate;married;2;0;2612.0;7;25;Public administration and defence;between 101-250;12;True;1;0;1;0;0;0;0;0
C;44;Urban area;Owner without mortgage;Post secondary school;divorced;1;0;1064.66;5;15;Manufacturing;> 1.000;6;False;0;0;0;0;0;0;0;0
B;50;County capital;Owner without mortgage;Post secondary school;married;2;0;2363.0;3;8;Transportation and storage;between 101-250;2;False;0;0;0;0;0;0;0;0
B;45;County capital;Owner with mortgage;University;married;3;1;3650.0;20;24;Agriculture, hunting and forestry;> 1.000;2;False;0;0;0;0;0;0;0;0
F;29;County capital;Other;University;single;1;0;5854.67;8;9;Other;between 101-250;2;False;0;0;0;0;0;0;0;0
C;35;Urban area;Owner without mortgage;Post secondary school;single;1;0;2027.0;16;16;Electricity and gas;between 501-1.000;2;False;0;0;0;0;0;0;0;0
C;68;County capital;Owner without mortgage;University;widow;1;0;1319.0;5;16;Missing;Missing;12;False;0;0;0;0;1;0;0;0
B;66;County capital;Owner without mortgage;College;widow;1;0;834.0;5;16;Missing;Missing;1;False;0;0;0;0;0;0;0;0
C;27;Rural area;Owner without mortgage;Highschool;single;1;0;1257.125;4;8;Manufacturing;between 251-500;6;False;0;0;0;0;0;0;0;0
F;26;Urban area;Living with family;Post-graduate;single;1;0;2899.0;4;21;Information and communication;between 101-250;7;True;1;0;0;0;0;0;0;0
E;37;Urban area;Living with family;University;single;1;0;3906.0;1;14;Financial and insurance activities;between 101-250;1;True;1;0;1;0;0;0;0;0
F;31;County capital;Owner with mortgage;University;single;1;0;10737.0;5;15;Information and communication;between 251-500;11;False;0;0;0;0;0;0;0;0
C;67;County capital;Owner without mortgage;Post secondary school;married;2;0;1570.0;35;35;Construction;between 21-50;1;False;0;0;0;0;0;0;0;0
E;59;County capital;Owner without mortgage;University;widow;1;0;2326.0;5;16;Missing;Missing;14;True;1;0;0;0;1;0;0;0
B;36;Rural area;Living with family;Post secondary school;single;1;0;1146.325;4;12;Manufacturing;between 251-500;1;True;1;0;1;0;0;0;0;0
C;38;Urban area;Owner without mortgage;Vocational school;single;1;0;2945.45;17;24;Manufacturing;> 1.000;12;False;0;0;0;0;0;0;0;0
C;45;Urban area;Owner with mortgage;University;married;3;1;1342.0;16;62;Public administration and defence;between 101-250;10;False;1;0;0;0;1;0;0;0
C;35;County capital;Other;University;single;1;0;1588.495;2;19;Manufacturing;> 1.000;1;False;1;0;0;0;0;0;0;0
B;64;Rural area;Owner without mortgage;Highschool;widow;1;0;1181.0;5;16;Missing;Missing;11;False;0;0;0;0;1;0;0;0
F;37;County capital;Owner without mortgage;University;married;2;0;1654.0;5;55;Education;between 21-50;12;False;0;0;0;0;1;0;0;0
B;30;Urban area;Living with family;University;single;1;0;2455.0;4;14;Manufacturing;between 251-500;1;True;1;0;1;0;0;0;0;0
F;38;Rural area;Living with family;Highschool;married;2;0;2348.7075;8;24;Manufacturing;> 1.000;8;True;1;0;0;0;0;0;0;0
C;65;County capital;Owner without mortgage;University;married;2;0;4473.0;33;55;Human health and social work activities;between 251-500;13;False;1;0;0;0;0;1;0;0
C;53;County capital;Owner without mortgage;Highschool;married;2;0;1451.2475;23;23;Transportation and storage;between 501-1.000;7;False;0;0;0;0;1;0;0;0
D;32;County capital;Living with family;University;single;1;0;1566.9975;2;18;Wholesale and retail trade;between 101-250;5;False;0;0;0;0;1;0;0;0
C;26;County capital;Owner without mortgage;Post-graduate;single;1;0;3675.85;2;13;Other;between 101-250;8;True;1;0;0;0;0;0;0;0
B;48;Rural area;Owner without mortgage;Vocational school;married;3;1;689.0;3;14;Other;between 51-100;2;True;1;0;1;0;0;0;0;0
F;30;County capital;Living with family;University;single;1;0;2648.4975;6;6;Other;between 101-250;2;False;0;0;0;0;0;0;0;0
B;26;Urban area;Living with family;University;single;1;0;1123.5;3;4;Manufacturing;between 101-250;1;True;1;0;0;0;0;0;0;0
C;65;Rural area;Owner without mortgage;Post secondary school;married;2;0;1113.0;5;16;Missing;Missing;4;False;1;0;0;0;1;0;0;0
B;35;County capital;Living with family;University;married;3;1;1998.66;3;"";Human health and social work activities;> 1.000;1;False;0;0;0;0;0;0;0;0
C;30;Urban area;Living with family;University;single;1;0;1512.5;3;11;Other;between 251-500;1;False;0;0;0;0;0;0;0;0
C;47;County capital;Owner with mortgage;Post-graduate;married;4;2;22827.66;5;5;Manufacturing;between 501-1.000;11;False;0;0;0;0;1;0;0;0
B;23;Urban area;Living with family;Post secondary school;married;2;0;638.0;2;8;Manufacturing;between 101-250;2;False;0;0;0;0;0;0;0;0
B;41;County capital;Owner without mortgage;University;divorced;1;0;2132.0;4;12;Public administration and defence;between 501-1.000;9;True;1;0;1;0;1;0;0;0
C;27;County capital;Owner without mortgage;University;divorced;1;0;1282.8;5;63;Public administration and defence;between 101-250;1;False;1;0;0;0;0;0;0;0
F;42;County capital;Living with family;University;single;1;0;1710.0;7;12;Human health and social work activities;between 0-10;10;False;0;0;0;0;0;0;0;0
C;40;Urban area;Owner with mortgage;Post secondary school;married;2;0;2826.4925;13;13;Electricity and gas;between 501-1.000;12;False;0;0;0;0;1;0;0;0
C;46;Rural area;Owner without mortgage;Vocational school;married;2;0;719.0;1;21;Construction;between 51-100;1;False;0;0;0;0;0;0;0;0
C;45;County capital;Owner without mortgage;University;divorced;2;0;1663.0;10;17;Transportation and storage;between 251-500;12;False;1;0;0;0;1;0;0;0
B;62;Urban area;Owner without mortgage;Post secondary school;married;2;0;1793.0;2;12;Wholesale and retail trade;between 11-20;1;True;1;0;0;0;0;0;0;0
E;56;County capital;Owner without mortgage;Vocational school;married;2;0;1099.0;38;38;Manufacturing;between 51-100;2;True;1;0;0;0;0;0;0;0
C;63;County capital;Living with family;Post secondary school;single;1;0;1161.0;5;16;Missing;Missing;8;True;1;0;0;0;1;0;0;0
C;39;Rural area;Living with family;Vocational school;married;2;0;702.0;8;46;Missing;between 0-10;1;False;0;0;0;0;0;0;0;0
D;36;County capital;Owner without mortgage;University;married;2;0;2293.0;6;"";Manufacturing;between 251-500;11;False;1;0;0;0;1;0;0;0
C;52;Rural area;Owner without mortgage;Post secondary school;single;1;0;1476.0;4;16;Agriculture, hunting and forestry;between 21-50;1;False;0;0;0;0;0;0;0;0
E;60;Urban area;Owner without mortgage;University;married;2;0;1316.0;5;16;Missing;Missing;13;True;1;0;0;0;0;0;0;0
C;57;Rural area;Owner without mortgage;Highschool;married;2;0;947.0;20;20;Water supply;between 51-100;14;False;0;0;0;0;1;0;0;0
F;34;County capital;Owner with mortgage;University;married;3;1;2258.66;9;9;Public administration and defence;> 1.000;1;True;1;0;0;0;0;0;0;0
B;33;County capital;Living with family;Post secondary school;married;2;0;1576.1;9;20;Public administration and defence;between 501-1.000;9;False;0;0;0;0;0;0;0;0
F;40;County capital;Owner with mortgage;University;married;4;2;6964.25;5;21;Information and communication;> 1.000;1;True;1;0;1;0;0;0;0;0
E;61;Urban area;Owner without mortgage;Middle school;married;2;0;510.0;5;16;Missing;Missing;1;True;1;0;1;0;0;0;0;0
E;59;County capital;Living with family;Other;single;1;0;525.0;5;16;Missing;Missing;1;False;1;0;0;0;0;0;0;0
C;34;County capital;Living with family;University;single;1;0;2091.9;2;21;Information and communication;> 1.000;9;False;0;0;0;0;0;0;0;0
C;36;County capital;Living with family;University;single;1;0;3139.0;16;24;Transportation and storage;> 1.000;5;False;0;0;0;0;0;0;0;0
C;37;County capital;Owner without mortgage;College;married;3;1;2616.5;9;17;Manufacturing;> 1.000;12;False;0;0;0;0;0;0;0;0
B;33;Urban area;Owner without mortgage;Highschool;married;2;0;1350.0;2;20;Construction;between 0-10;11;True;1;0;0;0;0;0;0;0
C;64;Rural area;Owner without mortgage;Highschool;married;2;0;990.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;43;Rural area;Owner without mortgage;Vocational school ;married;2;0;2008.25;3;3;Electricity and gas;between 251-500;1;True;1;0;0;0;0;0;0;0
F;29;County capital;Living with family;Highschool;single;1;0;1923.0;7;23;Wholesale and retail trade;between 0-10;2;no;0;0;0;0;0;0;0;0
F;28;County capital;Living with family;University;single;1;0;3295.0;2;5;Professional, scientific and technical activities;between 0-10;8;False;0;0;0;0;0;0;0;0
C;64;Urban area;Owner without mortgage;Highschool;married;2;0;1788.0;5;16;Missing;Missing;2;False;0;0;0;0;0;0;0;0
C;21;Rural area;Other;University;single;1;1;1081.0;3;20;Manufacturing;between 21-50;1;True;1;0;0;0;0;0;0;1
F;32;County capital;Living with family;University;married;2;0;7249.0;4;4;Missing;between 0-10;2;False;0;0;0;0;0;0;0;0
B;44;Rural area;Owner without mortgage;Primary school;married;2;0;839.0;2;6;Manufacturing;between 101-250;1;False;0;0;0;0;0;0;0;0
B;63;County capital;Owner without mortgage;Highschool;widow;1;0;775.0;5;16;Missing;Missing;12;False;0;0;0;0;0;0;0;0
E;59;Urban area;Owner with mortgage;Highschool;married;2;0;856.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;25;County capital;Owner without mortgage;Highschool;single;1;0;1656.4775;2;12;Other;> 1.000;1;True;1;0;0;0;0;0;0;0
C;66;Urban area;Owner without mortgage;Missing;divorced;1;0;1409.0;5;16;Missing;Missing;14;True;1;0;0;0;0;0;0;0
F;37;County capital;Living with family;Highschool;married;2;0;2200.0;11;16;Construction;between 21-50;8;False;0;0;0;0;0;0;0;0
C;69;County capital;Owner without mortgage;Other;single;1;0;673.0;5;16;Missing;Missing;8;True;1;0;0;0;1;0;0;0
C;30;County capital;Owner without mortgage;Post-graduate;married;2;0;8620.608;3;6;Other;between 251-500;1;True;1;0;0;0;0;0;0;0
C;64;County capital;Owner without mortgage;Highschool;married;2;0;1076.0;5;16;Missing;Missing;11;False;1;0;0;0;1;0;0;0
C;27;County capital;Living with family;University;single;1;0;2258.405;7;14;Manufacturing;> 1.000;1;False;1;0;0;0;0;0;0;0
F;30;Urban area;Living with family;University;single;1;0;2089.9345;6;9;Other;between 101-250;1;False;1;0;0;0;0;0;0;0
F;33;Rural area;Owner with mortgage;University;married;3;1;1212.5025;4;13;Missing;> 1.000;2;False;0;0;0;0;0;0;0;0
C;38;Rural area;Owner without mortgage;Other;single;1;1;840.0;2;21;Manufacturing;between 501-1.000;1;True;1;0;0;0;0;0;0;0
C;58;County capital;Owner without mortgage;Highschool;married;2;0;1066.0;5;16;Missing;Missing;10;True;1;0;0;0;0;0;0;0
C;49;Rural area;Owner without mortgage;Vocational school;single;1;0;1158.5;4;4;Manufacturing;between 251-500;8;False;1;0;0;0;1;0;0;0
B;39;Rural area;Owner without mortgage;University;married;2;0;1342.63;2;12;Construction;between 51-100;9;False;0;0;0;0;0;0;0;0
C;28;County capital;Living with family;University;single;1;0;1405.6025;4;12;Financial and insurance activities;between 101-250;1;False;0;0;0;0;0;0;0;0
C;57;County capital;Owner without mortgage;College;married;2;0;2154.0;7;9;Electricity and gas;between 101-250;1;False;0;0;0;0;0;0;0;0
F;33;County capital;Living with family;University;married;3;1;1402.0;9;11;Professional, scientific and technical activities;between 11-20;13;False;0;0;0;0;0;0;0;0
F;29;Rural area;Living with family;Post-graduate;married;2;0;1832.0;1;12;Wholesale and retail trade;between 11-20;7;False;1;0;0;0;0;0;0;0
E;46;County capital;Owner with mortgage;Post secondary school;married;3;1;1525.0;8;18;Public administration and defence;between 501-1.000;1;True;1;0;0;0;0;0;0;0
C;30;Rural area;Living with family;Highschool;married;2;0;2078.5;7;21;Wholesale and retail trade;> 1.000;1;False;0;0;0;0;0;0;0;0
C;60;Rural area;Owner without mortgage;University;single;1;0;1011.0;5;16;Missing;Missing;8;True;1;0;0;0;0;0;0;0
C;46;Rural area;Owner without mortgage;Other;married;2;0;696.0;7;10;Wholesale and retail trade;between 21-50;1;False;0;0;0;0;0;0;0;0
C;68;County capital;Owner without mortgage;Post secondary school;widow;1;0;1170.0;5;16;Missing;Missing;13;True;1;0;0;0;0;0;0;0
F;33;County capital;Living with family;Highschool;married;3;1;1854.9975;9;11;Missing;> 1.000;11;False;0;0;0;0;0;0;0;0
C;64;Urban area;Owner without mortgage;Middle school;married;2;0;1582.0;5;16;Missing;Missing;9;False;1;0;0;0;1;0;0;0
C;67;County capital;Owner without mortgage;Vocational school;married;2;0;555.0;5;16;Missing;Missing;8;False;0;0;0;0;0;0;0;0
B;64;Urban area;Owner without mortgage;Other;married;1;0;679.0;5;16;Missing;Missing;10;False;1;0;0;0;0;0;0;0
C;39;County capital;Owner without mortgage;Other;divorced;1;0;1480.6;1;1;Manufacturing;between 251-500;9;True;1;0;1;0;0;0;0;0
F;35;County capital;Living with family;Post-graduate;single;1;0;2992.305;2;4;Transportation and storage;between 21-50;14;False;0;0;0;0;0;0;0;0
F;34;County capital;Living with family;Highschool;married;2;0;2170.75;4;21;Wholesale and retail trade;> 1.000;2;False;0;0;0;0;0;0;0;0
F;30;County capital;Living with family;University;married;2;0;3281.0;5;13;Missing;> 1.000;11;True;1;0;0;0;0;0;0;0
B;65;County capital;Owner without mortgage;University;married;2;0;2260.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
F;37;County capital;Living with family;Post-graduate;divorced;1;0;1862.0;8;20;Human health and social work activities;> 1.000;2;True;1;0;0;0;0;0;0;0
C;24;Rural area;Living with family;Other;married;2;0;1025.31;2;17;Manufacturing;> 1.000;1;True;1;0;1;0;0;0;0;0
C;56;Rural area;Owner without mortgage;Highschool;married;2;0;668.0;4;4;Manufacturing;between 21-50;1;False;0;0;0;0;0;0;0;0
C;49;Rural area;Owner without mortgage;University;single;1;0;1703.0;7;21;Public administration and defence;between 21-50;16;False;0;0;0;0;0;0;0;0
E;54;County capital;Owner without mortgage;Highschool;single;1;0;1360.0;5;16;Missing;Missing;13;False;1;0;0;0;0;0;0;0
C;64;Rural area;Owner without mortgage;University;married;2;0;525.0;5;16;Missing;Missing;1;False;0;0;0;0;0;0;0;0
F;31;County capital;Owner without mortgage;University;married;2;0;1405.4;7;12;Information and communication;between 0-10;9;False;0;0;0;0;0;0;0;0
C;62;Urban area;Owner without mortgage;Highschool;widow;1;0;844.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;46;County capital;Owner with mortgage;Post secondary school;single;1;0;1782.0;14;47;Human health and social work activities;> 1.000;1;False;1;0;0;0;0;0;0;0
C;65;County capital;Owner without mortgage;College;married;2;0;1121.0;5;16;Missing;Missing;6;True;1;0;0;0;0;0;0;0
C;57;Rural area;Owner without mortgage;Post secondary school;single;1;0;2414.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;42;County capital;Owner without mortgage;University;single;3;2;2825.1675;9;21;Wholesale and retail trade;> 1.000;1;False;0;0;0;0;0;0;0;0
B;20;Rural area;Living with family;Other;single;1;1;752.0;2;11;Manufacturing;between 501-1.000;2;False;0;0;0;0;0;0;0;1
B;36;Rural area;Living with family;Missing;single;1;0;1259.0;3;8;Missing;between 21-50;2;False;0;0;0;0;0;0;0;0
B;48;Urban area;Owner without mortgage;College;married;2;0;858.0;4;21;Wholesale and retail trade;between 21-50;12;False;0;0;0;0;1;0;0;0
B;26;Rural area;Owner without mortgage;Other;single;1;0;1494.0;7;21;Manufacturing;> 1.000;5;False;0;0;0;0;0;0;0;0
C;59;County capital;Owner without mortgage;Highschool;widow;1;0;770.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
F;28;County capital;Living with family;University;single;1;0;1140.33;3;26;Human health and social work activities;> 1.000;1;True;1;0;0;0;0;0;0;0
C;60;Urban area;Owner without mortgage;Highschool;married;2;0;1049.0;5;16;Missing;Missing;11;False;1;0;0;0;1;0;0;0
B;62;Urban area;Owner without mortgage;Missing;widow;1;0;539.0;5;16;Missing;Missing;8;True;1;0;0;0;0;0;0;0
C;30;Urban area;Living with family;Other;single;1;0;3594.945;2;2;Transportation and storage;between 501-1.000;1;False;1;0;0;0;0;0;0;0
B;29;County capital;Owner without mortgage;Post secondary school;single;1;0;896.0;1;16;Wholesale and retail trade;between 251-500;1;True;1;0;1;0;0;0;0;0
F;41;County capital;Owner without mortgage;University;married;2;0;4078.25;17;21;Manufacturing;> 1.000;7;True;1;0;0;0;0;0;0;0
E;26;County capital;Living with family;University;single;1;0;819.65;4;18;Wholesale and retail trade;between 21-50;1;True;1;0;1;0;0;0;0;0
C;33;County capital;Living with family;University;single;1;0;900.25;2;21;Wholesale and retail trade;between 501-1.000;12;False;0;0;0;0;1;0;0;1
C;42;County capital;Owner without mortgage;Missing;married;2;0;2464.0;22;22;Public administration and defence;between 501-1.000;8;False;0;0;0;0;1;0;0;0
C;60;Urban area;Owner without mortgage;Other;single;1;0;712.0;5;16;Missing;Missing;12;True;1;0;0;0;0;0;0;0
F;31;County capital;Living with family;University;married;2;0;1743.995;10;25;Public administration and defence;between 501-1.000;2;False;0;0;0;0;0;0;0;0
B;47;County capital;Owner without mortgage;University;married;3;1;12346.0;5;61;Transportation and storage;> 1.000;12;True;1;0;0;0;0;0;0;0
C;52;Urban area;Owner without mortgage;University;single;1;0;734.0;3;22;Public administration and defence;between 101-250;12;False;0;0;0;0;0;0;0;0
C;35;County capital;Owner without mortgage;University;married;4;2;2095.0;10;21;Public administration and defence;> 1.000;8;True;1;0;0;0;0;0;0;0
E;31;County capital;Living with family;Post-graduate;married;3;1;2375.25;2;2;Other;between 11-20;1;True;1;0;0;0;0;0;0;0
C;69;Urban area;Owner without mortgage;Highschool;widow;1;0;1153.0;5;16;Missing;Missing;13;False;1;0;0;0;1;0;0;0
F;30;County capital;Living with family;University;single;1;0;2855.0;9;17;Other;between 51-100;1;False;1;0;0;0;0;0;0;0
C;46;Urban area;Owner without mortgage;Other;married;2;0;1065.0;5;10;Manufacturing;between 251-500;8;True;1;0;0;0;0;0;0;0
B;41;Rural area;Owner without mortgage;College;single;1;0;1763.0;4;12;Construction;between 21-50;1;False;0;0;0;0;0;0;0;1
C;62;Urban area;Owner without mortgage;Post secondary school;married;2;0;1793.0;2;12;Wholesale and retail trade;between 11-20;1;True;1;0;0;0;0;0;0;0
B;23;County capital;Living with family;Other;single;1;0;667.5;3;4;Wholesale and retail trade;between 101-250;1;False;0;0;0;0;0;0;0;1
B;48;County capital;Owner without mortgage;Highschool;married;2;0;1057.0;22;22;Public administration and defence;between 21-50;11;False;0;0;0;0;1;0;0;0
C;47;Urban area;Owner without mortgage;Highschool;married;2;0;1062.0;8;24;Manufacturing;between 251-500;11;True;1;0;1;0;1;0;0;0
C;62;County capital;Owner without mortgage;Highschool;married;2;0;800.0;5;16;Missing;Missing;9;True;1;0;0;0;0;0;0;0
C;40;Rural area;Owner with mortgage;Post-graduate;married;3;1;4253.78;3;11;Manufacturing;between 11-20;1;True;1;0;0;0;0;0;0;0
B;37;County capital;Owner without mortgage;University;married;2;0;1306.25;3;9;Information and communication;between 251-500;2;False;0;0;0;0;0;0;0;0
C;56;Urban area;Owner without mortgage;Highschool;divorced;1;0;2647.32;5;5;Mining and quarrying;between 501-1.000;1;True;1;0;0;0;0;0;0;0
C;48;County capital;Owner without mortgage;Post-graduate;married;2;0;1739.0;4;55;Education;between 51-100;12;True;1;0;1;0;1;0;0;0
B;49;Rural area;Owner without mortgage;Post secondary school;married;2;1;4387.505;18;18;Mining and quarrying;> 1.000;1;True;1;0;1;0;1;0;0;0
F;37;Rural area;Owner without mortgage;University;married;4;2;1135.395;2;4;Missing;between 21-50;1;False;0;0;0;0;0;0;0;0
F;29;County capital;Owner with mortgage;University;married;2;0;1385.6;2;5;Information and communication;between 21-50;11;False;0;0;0;0;0;0;0;0
C;40;Urban area;Owner without mortgage;University;married;2;0;848.0;2;8;Manufacturing;between 501-1.000;1;False;0;0;0;0;0;0;0;0
B;65;County capital;Owner without mortgage;Missing;married;2;0;6992.0;37;16;Education;> 1.000;18;False;1;0;0;0;0;0;0;0
B;23;County capital;Living with family;College;single;1;2;478.8;1;9;Manufacturing;between 51-100;1;True;1;0;1;0;0;0;0;1
B;45;Rural area;Living with family;Highschool;single;1;0;1436.25;5;15;Manufacturing;> 1.000;1;True;1;0;0;0;0;0;0;0
C;42;Rural area;Owner without mortgage;University;married;4;2;3587.0;17;21;Financial and insurance activities;> 1.000;7;False;0;0;0;0;1;0;0;0
E;30;County capital;Owner without mortgage;Post secondary school;married;1;0;644.66;2;24;Manufacturing;between 501-1.000;2;True;1;0;1;0;0;0;0;0
C;63;Rural area;Owner without mortgage;University;married;2;0;999.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;61;County capital;Owner without mortgage;Vocational school;married;2;0;712.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;29;Rural area;Living with family;Post-graduate;married;2;1;733.0;2;16;Wholesale and retail trade;between 51-100;10;False;0;0;0;0;0;0;0;0
C;54;County capital;Living with family;University;single;1;0;646.0;2;3;Other;between 101-250;1;False;0;0;0;0;0;0;0;0
E;66;County capital;Owner without mortgage;Post-graduate;married;2;0;9222.0;16;22;Public administration and defence;between 101-250;13;True;1;0;0;0;1;0;0;0
B;61;Rural area;Owner without mortgage;Highschool;widow;1;0;504.0;5;16;Missing;Missing;2;False;0;0;0;0;0;0;0;0
B;63;County capital;Owner without mortgage;Highschool;widow;1;0;612.0;5;16;Missing;Missing;1;True;1;0;0;0;0;1;0;0
F;32;Urban area;Living with family;University;single;1;0;2106.5;12;34;Missing;between 501-1.000;13;False;0;0;0;0;0;0;0;0
B;31;Urban area;Owner without mortgage;University;married;3;1;5452.8;4;18;Wholesale and retail trade;between 251-500;1;True;1;0;1;0;0;0;0;0
C;70;Urban area;Owner without mortgage;Missing;widow;1;0;923.0;5;16;Missing;Missing;12;False;0;0;0;0;1;0;0;0
F;39;County capital;Living with family;University;married;3;1;2453.0;2;8;Professional, scientific and technical activities;between 251-500;11;True;1;0;0;0;0;0;0;0
C;43;Rural area;Living with family;Vocational school;single;2;1;1567.46;4;4;Construction;between 251-500;9;False;1;0;0;0;1;0;0;0
C;49;Rural area;Living with family;Other;single;1;0;652.0;10;25;Missing;between 21-50;1;True;1;0;0;0;0;0;0;0
F;36;Urban area;Living with family;College;married;3;1;1237.0;4;9;Manufacturing;> 1.000;9;False;0;0;0;0;1;0;0;0
B;39;Urban area;Owner without mortgage;University;divorced;1;0;10008.0;7;24;Financial and insurance activities;> 1.000;2;False;0;0;0;0;0;0;0;0
C;66;Rural area;Owner without mortgage;Missing;married;2;0;847.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
F;30;Rural area;Living with family;Post secondary school;single;1;0;818.0;2;12;Construction;between 101-250;2;False;0;0;0;0;0;0;0;0
C;31;Urban area;Living with family;College;married;2;0;3359.0;2;24;Transportation and storage;between 251-500;2;True;1;0;0;0;0;0;0;1
B;44;Rural area;Owner without mortgage;University;single;1;0;1046.0;2;21;Manufacturing;between 251-500;1;False;0;0;0;0;0;0;0;0
C;55;County capital;Owner without mortgage;Highschool;married;2;0;1271.25;26;50;Mining and quarrying;between 501-1.000;7;False;1;0;0;0;1;0;0;0
F;31;County capital;Owner with mortgage;College;married;2;0;1961.33;5;7;Human health and social work activities;between 101-250;8;False;0;0;0;0;1;0;0;0
C;32;County capital;Living with family;University;married;2;0;1333.25;4;23;Manufacturing;> 1.000;12;True;1;0;0;0;0;0;0;0
B;61;County capital;Owner without mortgage;Post secondary school;married;2;0;1166.0;5;16;Missing;Missing;12;True;1;0;0;0;0;0;0;0
B;63;Rural area;Owner without mortgage;Highschool;divorced;1;0;1004.0;5;16;Missing;Missing;7;False;1;0;0;0;1;0;0;0
F;45;Urban area;Owner without mortgage;University;widow;2;1;4315.9975;24;31;Public administration and defence;between 251-500;12;False;0;0;0;0;1;0;0;0
