season,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,class
u,4.11,f,d,b,f,x,c,w,4.5,2.99,b,i,n,,,f,f,,l,p
u,1.63,f,h,y,f,,,y,7.06,2.34,,,y,,,f,f,,g,p
a,7.49,f,h,n,f,s,,y,8.96,11.78,,t,n,,,f,f,,d,e
u,2.34,f,y,n,f,a,d,p,6.08,3.64,,i,n,,,f,f,,h,e
u,7.23,p,y,w,f,e,c,k,4.78,12.69,,,w,,w,t,e,,m,e
a,9.19,x,e,n,f,a,,n,8.35,12.54,s,,n,,n,f,f,,h,p
u,4.29,x,t,n,f,s,c,n,6.59,10.98,,,w,,n,t,z,,d,p
u,8.24,p,y,w,f,e,c,w,14.22,11.07,,s,w,,,t,e,,u,e
u,19.58,s,s,w,f,a,d,k,6.72,21.13,,,w,,,f,f,w,d,e
w,6.2,f,,y,f,a,c,w,6.2,15.58,,,w,,,f,f,,d,e
w,7.68,f,,l,f,s,c,b,6.38,18.48,,,u,,,f,f,,l,e
u,8.4,x,h,r,f,,c,w,10.81,14.35,,,w,u,w,t,g,,d,p
u,7.67,x,i,n,f,a,c,n,8.37,8.01,,i,n,,k,t,z,k,d,p
a,10.41,f,s,r,f,x,,n,6.26,21.22,,,n,,,f,f,,d,e
u,17.3,f,g,o,f,e,,w,17.39,18.35,s,y,w,u,w,t,g,,d,p
w,3.88,x,h,o,f,a,c,n,4.77,6.27,,y,n,,,t,z,,d,p
a,6.11,f,w,e,f,x,,w,15.21,7.87,r,g,n,,,f,f,,d,p
u,1.16,x,t,n,f,d,,w,5.75,1.61,,t,y,,,f,f,,d,e
u,3.28,x,y,n,f,a,,w,5.08,3.48,,y,n,,,t,r,,g,p
u,6.5,s,,n,t,d,c,w,5.67,6.06,,,e,,,f,f,,d,p
a,5.64,x,y,n,f,s,,g,5.18,7.93,,,w,,,f,f,,d,e
a,11.25,x,e,y,t,p,,o,8.99,27.48,,,e,,,f,f,,d,p
a,5.23,s,,e,t,d,c,w,5.92,6.32,,,n,,,f,f,,d,p
u,6.25,x,h,g,f,a,d,n,6.17,4.84,,t,g,,,t,l,,d,e
a,4.43,b,t,n,f,x,c,p,5.8,4.34,,i,g,,,f,f,,g,p
a,7.3,f,s,o,f,s,,y,9.12,13.23,,i,o,,,f,f,,d,e
a,7.11,x,y,n,f,a,c,y,9.74,9.86,,y,n,,,t,,,d,p
u,5.47,x,y,n,f,e,c,w,5.26,10.23,,y,n,,,f,f,,d,e
a,15.35,s,e,n,f,a,c,w,8.77,26.28,s,,w,,,f,f,,d,e
u,11.58,p,s,w,f,e,c,p,24.52,12.4,,s,w,,,t,e,,u,e
a,1.41,c,g,n,f,a,,w,5.07,1.34,,,g,,,f,f,,l,e
a,3.46,b,t,n,f,,,n,11.45,6.7,,,w,,,t,,k,g,p
a,1.31,f,s,y,f,f,f,f,4.13,5.97,,,y,,,f,f,,d,p
u,3.75,f,t,n,f,x,c,p,5.99,4.32,,i,g,,,f,f,,g,p
u,3.78,x,s,y,f,,c,r,9.25,7.92,,,y,u,w,t,z,r,d,p
a,4.19,f,,y,f,x,,w,3.86,5.7,,,w,,,f,f,,d,p
u,3.52,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,p
u,3.18,b,s,y,f,,c,r,7.09,6.22,,,y,u,w,t,z,k,d,p
a,4.74,x,t,o,f,a,c,y,6.16,7.53,,g,o,,,f,f,,g,p
a,8.18,x,w,p,f,s,c,p,4.63,10.27,,,p,,,f,f,,d,p
a,4.76,x,t,o,f,p,,n,4.53,11.05,,,e,,,f,f,,d,e
u,17.09,f,y,n,f,,,w,26.47,18.82,s,,n,,,t,m,,d,e
a,4.02,x,e,e,f,a,,g,6.8,9.81,,,e,,w,t,z,,d,p
u,7.44,x,y,n,f,e,c,w,5.16,10.03,,y,n,,,f,f,,d,e
a,6.91,f,s,o,f,s,,n,9.13,13.38,,t,o,,,f,f,,d,e
u,7.16,x,,n,f,a,,w,7.61,13.95,,,g,,,f,f,,d,e
a,8.75,x,h,r,f,,c,w,11.12,12.88,,,w,u,w,t,g,,d,p
u,8.22,s,,o,t,d,,o,4.81,13.12,,,w,,,t,f,,d,p
a,5.07,x,,n,f,x,c,n,8.1,9.8,b,,n,,w,t,,,d,e
u,51.45,o,y,y,f,p,,y,7.19,35.76,,k,k,,,f,f,,d,e
a,5.91,x,i,e,f,e,,k,6.9,6.38,,,k,,,f,f,,g,p
a,5.8,f,s,b,f,d,d,b,5.21,11.9,,,w,,,f,f,,m,e
u,11.37,f,s,y,f,a,d,w,8.84,13.5,,i,n,,,t,,w,d,e
a,8.12,x,i,n,f,a,,n,9.27,12.31,s,,n,,n,f,f,,d,p
s,6.73,o,,n,f,f,f,f,6.09,23.34,,,n,,,f,f,,d,e
w,4.09,x,t,n,f,a,c,n,4.72,5.96,,y,o,,,t,z,,d,p
u,3.33,x,d,w,f,d,d,p,4.41,2.45,,h,w,,,f,f,,g,p
a,5.32,x,t,y,f,x,c,y,4.7,14.39,,,y,,,f,f,,d,p
a,0.74,x,g,y,f,,,y,3.23,0.62,,,w,,,f,f,,d,p
s,5.14,x,h,n,f,x,c,w,5.54,7.36,,s,n,,,t,r,,d,e
a,7.3,x,i,y,f,a,c,k,8.24,7.66,,i,n,,k,t,z,k,d,p
a,11.68,x,t,n,f,a,d,w,8.24,28.03,,,w,,,f,f,,d,p
w,6.12,f,w,p,f,s,c,p,4.38,9.42,,,p,,,f,f,,d,p
a,2.38,p,t,n,f,a,c,n,7.99,2.64,,t,y,,,t,e,,m,p
u,7.03,x,t,y,f,p,,y,8.42,16.34,,,y,,y,t,,,d,e
a,14.36,x,h,w,f,s,,y,7.79,18.43,,i,n,,,f,f,,d,p
u,3.82,f,,u,f,a,,w,5.23,8.26,,,y,,,f,f,,d,p
u,4.82,c,i,y,f,,c,r,5.97,6.96,,,w,,,f,f,,d,p
a,2.45,b,t,y,f,a,,r,4.28,5.18,,t,r,,,f,f,,d,p
a,8.75,x,i,n,f,e,c,p,5.78,13.58,,,w,,,t,l,,w,e
a,9.26,f,,l,f,d,c,w,2.21,11.66,,,w,,,f,f,,d,e
a,3.89,x,t,n,f,s,c,p,5.54,8.49,,,w,,n,t,z,,d,p
a,8.59,x,d,n,t,p,,r,5.81,12.96,,,y,,,f,f,,d,e
u,4.87,x,s,o,f,a,c,y,6.41,9.52,,g,o,,,f,f,,g,p
u,0.72,x,g,o,f,,,y,3.47,0.73,,,y,,,f,f,,d,p
a,2.97,x,s,o,f,d,,o,2.78,5.69,,,y,,,f,f,,h,p
w,4.17,b,h,n,f,,,k,10.82,5.28,,,w,,,t,,k,g,p
u,6.14,f,s,n,f,s,c,w,6.14,9.86,b,i,n,,,f,f,,g,e
u,7.38,b,t,w,f,e,c,w,11.53,11.33,,y,w,u,w,t,l,,d,p
u,3.52,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,p
w,11.28,x,y,e,f,,,w,7.8,28.41,b,,n,,w,t,e,,d,e
a,8.93,x,w,n,f,p,,y,10.5,51.92,,,n,,,f,f,,d,e
a,7.6,x,y,y,f,a,c,n,11.23,11.12,,y,y,,,t,,,d,p
a,7.43,x,w,y,f,f,f,f,5.91,13.58,,,y,,,f,f,,d,e
a,8.96,f,g,o,f,s,,y,10.01,12.68,,i,n,,,f,f,,d,e
w,3.15,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,p
u,11.38,x,,g,f,e,,w,10.51,15.33,,,w,u,w,t,g,,d,p
u,4.93,f,k,n,f,p,,n,3.93,5.71,,k,n,,,t,f,,d,p
a,11.07,x,t,n,f,a,d,w,10.46,31.48,,,w,,,f,f,,d,p
a,2.99,s,y,n,f,a,d,p,7.13,3.02,,i,n,,,f,f,,l,e
a,2.31,b,,g,f,a,,g,5.26,2.07,,s,n,,,f,f,,d,p
u,1.6,x,i,l,f,a,,p,3.54,2.47,,,w,,,f,f,p,g,p
a,14.18,f,h,e,f,e,,w,17.87,18.2,s,y,w,u,w,t,p,,d,p
a,7.44,f,t,e,f,x,d,w,6.22,17.5,b,,w,,,f,f,,d,p
a,3.85,f,d,n,f,x,c,y,4.64,3.32,b,i,n,,,f,f,,d,p
w,9.29,f,,g,f,s,c,p,6.93,20.44,b,,u,,,f,f,,d,e
a,6.16,x,w,p,f,s,c,p,4.41,9.75,,,p,,,f,f,,d,p
s,1.36,f,w,n,f,,d,g,4.27,2.16,,,w,,,f,f,,g,e
u,5.69,s,,n,f,d,c,w,4.41,7.87,,s,w,,,f,f,,d,e
a,5.05,x,h,n,f,x,c,n,5.04,5.36,,s,n,,,t,r,,d,e
w,6.56,f,,g,f,d,c,w,5.84,9.99,b,,n,,,f,f,,l,p
a,8.2,s,,n,f,s,c,p,6.32,20.34,b,,u,,,f,f,,d,e
u,7.06,x,d,y,t,p,,y,4.88,11.39,,,y,,,f,f,,d,e
u,4.68,o,,w,f,f,f,f,6.47,33.79,,g,w,,,t,f,,d,p
a,11.16,x,,n,f,p,,w,10.69,32.69,c,,n,,,f,f,p,d,p
s,5.31,b,y,n,f,,,g,10.55,12.54,,s,w,,,t,z,,g,p
u,3.21,s,w,u,f,a,c,u,5.05,4.95,,s,u,,,f,f,,d,p
u,3.63,x,,w,f,x,c,n,7.31,7.32,b,,n,,w,t,,,d,e
a,6.36,s,,n,f,d,c,w,4.97,8.16,,s,w,,,f,f,,h,e
u,49.16,o,y,y,f,p,,y,6.81,42.42,,k,n,,,f,f,,d,e
w,4.2,x,d,e,f,a,c,o,5.48,7.17,,,e,,,f,f,,m,e
u,3.03,x,t,n,f,s,c,n,5.74,9.32,,,w,,n,t,z,,d,p
u,6.54,f,,y,f,x,c,n,6.73,11.03,,,w,,,f,f,,d,p
a,7.25,b,t,w,f,e,c,w,11.47,12.1,,y,w,u,w,t,l,,d,p
u,2.82,b,y,n,f,,c,n,5.98,3.0,,,w,,,f,f,,d,e
a,4.59,c,i,y,f,,c,n,6.13,7.94,,,w,,,f,f,,d,p
a,10.38,s,t,o,t,d,c,o,5.62,17.75,,,w,,,f,f,,d,e
u,10.62,x,e,y,t,p,,e,8.21,20.56,,,e,,,f,f,,d,p
a,13.25,s,,w,t,d,c,w,6.92,26.62,,,w,,,f,f,,d,e
a,7.92,x,,n,f,a,,w,6.99,13.64,,,w,,,f,f,,d,e
s,5.94,c,,n,f,f,f,f,5.85,21.17,,,n,,,f,f,,d,e
u,12.75,f,s,n,t,e,,n,10.07,16.86,s,,w,,,t,r,,m,e
w,11.08,f,,g,f,d,c,y,2.38,12.42,,,w,,,f,f,,d,e
a,4.13,f,g,n,f,a,d,g,5.35,3.72,,s,n,,,f,f,,d,e
w,3.33,b,y,n,f,,c,n,6.16,3.0,,,w,,,f,f,,d,e
a,3.84,x,d,e,f,a,c,e,5.3,7.04,,,e,,,f,f,,g,e
a,13.06,x,h,y,f,s,,p,8.42,18.2,,i,n,,,f,f,,d,p
w,4.77,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,p
a,3.73,f,t,n,f,x,c,p,5.82,3.8,,i,n,,,f,f,,d,p
u,10.19,x,t,n,t,p,,y,9.69,22.52,,,n,,,f,f,,d,e
a,6.03,b,i,k,f,e,,k,8.02,7.48,,,y,,,f,f,,g,p
a,1.2,x,g,w,f,a,d,w,3.27,1.69,,,n,,,f,f,,d,p
a,5.81,s,,r,t,d,,o,4.49,11.81,,,w,,,t,f,,d,p
u,7.86,x,t,n,f,p,d,y,5.7,12.55,,s,n,,,f,f,,g,e
u,2.06,b,,n,f,a,,g,5.12,2.12,,s,n,,,f,f,,d,p
u,7.3,b,t,w,f,e,c,w,13.29,12.55,,y,w,u,w,t,l,,d,p
u,1.29,x,g,n,f,d,d,n,2.25,2.5,,s,n,,,f,f,,d,p
a,1.26,f,w,n,f,,d,k,4.77,2.35,,,w,,,f,f,,g,e
u,6.04,x,h,n,f,a,d,n,5.05,4.81,,t,g,,,t,l,,d,e
a,3.62,b,w,r,f,a,,y,4.86,5.99,,t,y,,,f,f,,d,p
u,4.22,b,t,n,f,,,k,9.42,5.05,,,w,,,t,,k,g,p
a,3.13,x,s,o,f,a,,y,3.09,5.94,,,o,,,f,f,,m,p
s,5.72,p,,g,f,f,f,f,4.78,19.87,,,n,,,f,f,,d,e
u,3.01,s,y,n,f,d,d,p,5.64,3.77,,i,n,,,f,f,,l,e
u,2.91,x,y,y,f,a,,w,4.95,3.55,,y,n,,,t,r,,d,p
a,3.61,x,e,e,f,a,,w,7.68,9.61,,,y,,w,t,z,,d,p
w,7.33,s,,y,f,a,c,w,5.73,15.47,,,w,,,f,f,,d,e
a,0.57,x,g,y,f,,,y,3.37,0.68,,,y,,,f,f,,d,p
u,8.26,s,t,p,t,d,c,p,7.64,16.04,,,p,,,t,f,,d,p
u,15.86,x,s,w,f,s,,y,9.36,19.22,,i,n,,,f,f,,d,p
s,3.77,f,h,n,f,a,d,y,6.61,5.79,,s,o,,,f,f,,d,e
a,9.19,p,,g,f,a,,w,9.65,17.54,,,w,,,f,f,,d,e
a,8.9,b,y,n,f,,,k,18.39,18.64,,,w,,,f,f,,d,p
u,2.96,f,w,n,t,d,c,y,3.87,6.01,,,n,,,f,f,,d,p
a,5.07,f,l,e,f,x,d,e,6.84,5.18,,,n,,,f,f,,d,p
a,4.65,c,i,y,f,,c,r,6.12,6.37,,,w,,,f,f,,d,p
w,4.37,x,t,n,f,d,,o,6.6,8.68,,t,o,,,f,f,,d,e
a,2.7,x,,b,f,,d,w,4.8,3.57,,,w,,,f,f,,d,e
u,1.68,x,w,g,f,,d,g,4.81,2.36,,,w,,,f,f,,d,e
s,1.44,o,k,n,f,,,n,4.08,1.45,,,n,,,f,f,,d,p
a,7.27,x,,n,t,x,,n,9.06,19.7,s,,n,,u,f,f,,d,p
a,15.39,x,y,n,t,e,,w,10.33,18.12,,,w,,,t,,,g,e
s,3.76,f,h,o,f,a,d,w,6.09,5.25,,k,n,,,f,f,,d,e
a,1.43,x,,n,f,,,k,5.39,2.71,,s,n,,,f,f,k,g,p
a,12.22,s,t,p,t,d,c,o,6.4,18.47,,,w,,,f,f,,d,e
a,4.4,f,s,w,f,d,d,w,3.32,5.4,,,w,,,f,f,,g,e
u,4.85,x,s,n,f,p,,n,5.59,12.39,,,e,,,f,f,,d,e
a,2.85,x,t,n,f,s,c,p,5.24,6.92,,,w,,n,t,z,,d,p
a,19.51,x,d,e,f,p,,w,17.7,34.0,s,y,w,,,f,f,,d,e
u,4.27,s,k,n,f,p,,n,3.71,5.95,,k,n,,,t,f,,d,p
u,11.0,x,t,n,t,d,c,n,6.35,15.18,,,n,,,f,f,,d,p
a,8.84,x,,n,t,,,w,10.87,16.99,b,,w,u,w,t,g,,d,e
u,1.21,f,s,y,f,f,f,f,2.75,4.77,,,y,,,f,f,,d,p
a,3.0,o,,g,f,f,f,f,2.79,13.08,,g,n,,,f,f,,d,p
s,6.14,c,k,w,t,x,c,p,5.96,11.56,,,w,,,f,f,,d,p
s,5.1,c,e,y,t,x,c,r,8.03,13.04,,,w,,,f,f,,d,p
a,5.33,o,,w,f,f,f,f,5.45,33.56,,g,w,,,t,f,,p,p
u,13.46,s,t,r,t,d,c,b,5.1,25.07,,,g,,,f,f,,d,p
a,8.78,x,h,n,t,p,,y,8.01,17.92,,,n,,w,t,p,,d,e
a,7.98,f,,y,f,x,c,n,6.73,13.28,,,w,,,f,f,,d,p
a,8.52,b,t,w,f,e,c,w,13.56,13.79,,y,w,u,w,t,e,,d,p
a,17.07,x,t,k,t,d,c,b,5.05,25.32,,,r,,,f,f,,d,p
a,7.06,f,t,n,f,s,,n,8.14,12.29,,t,n,,,f,f,,d,e
w,16.51,s,e,n,f,d,c,w,8.85,25.91,s,,w,,,f,f,,l,e
u,6.53,x,y,n,f,e,c,p,5.51,9.04,,y,n,,,f,f,,d,e
a,3.8,f,t,n,f,d,,o,6.28,6.56,,t,o,,,f,f,,d,e
a,3.92,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,p
u,5.53,f,k,n,f,a,c,n,5.32,6.93,,i,n,,,t,,,d,p
u,7.74,x,,y,f,e,,w,6.11,12.76,b,,w,u,w,t,g,,d,e
u,3.03,s,s,w,f,d,c,w,2.3,6.36,,,w,,,f,f,,g,p
a,5.48,s,t,n,f,x,c,y,5.19,12.47,,,y,,,f,f,,d,p
u,14.05,x,e,n,t,e,,w,10.18,17.97,,,w,,,t,,,g,e
s,5.97,b,s,n,f,,,w,12.22,13.39,,s,w,,,t,z,,g,p
a,6.87,x,g,n,f,e,,w,7.31,14.17,,y,w,u,w,t,p,,d,p
a,9.6,f,h,r,f,,c,w,11.25,16.56,,,w,u,w,t,p,,d,p
a,10.96,f,s,r,f,x,,n,7.36,22.84,,,p,,,f,f,,d,e
a,12.67,x,i,y,f,a,,o,13.51,25.67,r,,y,,,t,r,n,d,p
a,11.61,s,,w,t,d,c,y,6.67,24.5,,,w,,,f,f,,d,e
w,16.47,x,g,k,f,p,,y,3.59,33.05,,,n,,,f,f,,d,p
a,5.13,f,,y,f,s,d,y,4.9,12.08,,i,y,,,f,f,,d,p
u,3.1,f,l,y,f,x,d,n,6.47,5.34,,,n,,,f,f,,d,p
u,3.58,x,,n,f,x,c,w,7.69,6.7,b,,w,,w,t,,,d,e
a,7.26,x,w,p,f,s,c,p,4.7,9.53,,,p,,,f,f,,d,p
a,7.43,x,s,n,f,s,,g,5.97,7.13,,y,n,,,f,f,,d,p
a,1.53,x,g,y,f,d,d,n,2.13,2.72,,s,n,,,f,f,,h,p
a,3.73,x,,e,f,x,,w,4.55,6.24,,,w,,,f,f,,d,p
a,6.12,f,h,k,f,s,d,g,5.04,9.85,,s,g,,,f,f,,d,e
u,2.24,f,i,l,f,a,,w,4.09,2.35,,,w,,,f,f,p,g,p
a,2.58,f,g,g,f,a,d,g,3.97,2.89,,s,g,,,f,f,,d,e
s,51.64,o,y,y,f,p,,y,6.01,33.52,,k,n,,,f,f,,d,e
a,9.89,x,i,n,t,e,,p,9.24,16.73,,y,w,,,t,p,,d,e
a,5.52,x,y,n,f,e,c,p,6.36,10.48,,y,n,,,f,f,,d,e
u,10.97,f,s,y,f,x,,n,8.04,21.58,,,w,,,f,f,,d,e
u,1.44,c,g,n,f,a,,g,5.13,1.47,,,g,,,f,f,,d,e
u,0.8,x,,o,f,d,,o,4.2,0.9,,,y,,,f,f,w,g,p
u,6.07,x,h,y,t,x,c,y,6.62,15.32,,,w,,,f,f,,d,e
u,4.42,b,g,n,f,a,d,g,7.02,3.81,,s,n,,,f,f,,d,e
a,8.24,p,s,w,f,e,c,k,17.01,11.99,,s,w,,,t,e,,d,e
w,5.28,p,y,n,f,,,k,10.59,13.51,,s,w,,,t,z,,g,p
a,0.99,x,g,w,f,a,d,w,3.67,1.58,,,n,,,f,f,,l,p
u,5.23,x,t,n,f,a,d,n,4.83,4.09,,t,w,,,t,l,,d,e
u,12.45,f,t,n,t,d,c,n,6.57,17.53,,,n,,,f,f,,h,p
u,6.56,x,w,e,f,x,,w,14.42,8.12,r,g,n,,,f,f,,d,p
a,4.71,x,s,y,f,a,c,y,6.06,8.76,,g,o,,,f,f,,g,p
a,9.36,x,s,e,f,d,d,w,7.93,13.9,,i,n,,,t,,w,d,e
u,2.99,s,s,g,f,d,c,w,2.54,6.11,,,w,,,f,f,,g,p
w,3.73,x,d,e,f,a,c,o,4.4,6.21,,,e,,,f,f,,g,e
a,7.91,f,y,e,f,s,c,y,6.46,14.16,,y,u,,,f,f,,d,p
a,7.29,f,d,n,t,d,c,w,6.21,9.82,,,e,,,f,f,,d,p
a,3.34,x,y,n,f,a,,w,5.76,3.43,,y,n,,,t,r,,h,p
a,12.79,f,y,y,f,,,w,5.9,26.16,b,,n,,w,t,e,,d,e
w,3.9,b,t,n,f,,,k,8.09,4.86,,,w,,,t,,k,g,p
u,2.82,s,d,w,f,a,d,w,3.12,2.38,,h,w,,,f,f,,g,p
u,3.47,f,y,n,f,e,c,n,4.57,3.55,,k,w,,,t,e,,d,p
a,1.66,x,t,n,f,a,,w,5.87,1.75,,t,y,,,f,f,,h,e
a,2.95,o,,k,f,f,f,f,3.09,15.22,,g,n,,,f,f,,d,p
u,13.71,x,e,l,f,x,c,w,7.47,21.37,,,w,,,f,f,,d,e
a,3.97,f,t,n,f,d,,o,6.29,7.38,,t,w,,,f,f,,d,e
a,7.07,p,y,w,f,e,c,n,4.71,13.14,,,w,,w,t,e,,g,e
u,4.93,b,s,k,f,e,,y,7.05,7.02,,,y,,,f,f,,m,p
a,4.3,b,t,n,f,,,k,12.22,6.44,,,w,,,t,,k,g,p
u,5.51,x,,y,f,a,c,y,4.48,10.79,,,w,,,f,f,,d,e
a,5.88,p,y,w,f,e,c,n,4.87,13.11,,,w,,w,t,e,,g,e
u,24.78,x,w,n,f,p,,w,14.1,71.52,,,n,,,f,f,,d,e
w,11.51,x,y,n,f,,,w,7.45,25.32,b,,n,,w,t,e,,d,e
a,2.09,b,s,y,f,,c,r,8.59,6.66,,,y,u,w,t,z,r,d,p
a,10.02,f,,w,f,d,c,w,2.29,12.89,,,w,,,f,f,,d,e
u,7.74,s,,y,t,d,,o,5.88,12.95,,,w,,,t,f,,d,p
u,4.88,s,k,y,f,p,,n,3.54,6.41,,k,n,,,t,f,,d,p
a,3.1,x,s,w,f,d,d,w,2.98,5.36,,,w,,,f,f,,g,e
a,16.84,x,s,y,f,s,,p,7.5,18.44,,i,n,,,f,f,,d,p
a,3.52,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,p
a,2.59,f,y,o,f,a,,y,2.91,5.19,,,y,,,f,f,,h,p
u,7.81,x,d,e,t,p,,y,6.78,12.34,,,y,,,f,f,,d,e
a,13.15,x,k,n,t,p,,y,7.76,27.99,c,,y,,,f,f,,d,p
u,2.63,x,,b,f,,d,w,7.04,5.2,,,w,,,f,f,,d,e
u,1.52,c,g,n,f,a,,w,5.36,1.46,,,g,,,f,f,,d,e
u,9.58,f,i,n,f,e,c,p,5.67,13.88,,,w,,,t,l,,w,e
u,5.04,x,s,n,f,p,,n,6.76,12.19,,,e,,,f,f,,d,e
u,6.24,x,d,n,f,d,c,n,5.34,6.53,,i,y,,,t,,,d,p
a,2.25,f,i,l,f,a,,p,4.54,2.51,,,w,,,f,f,p,g,p
u,11.11,x,t,n,f,a,d,w,11.66,31.42,,,w,,,f,f,,d,p
u,4.02,f,,w,f,x,c,u,6.02,3.5,,,w,,,f,f,,d,e
a,6.24,x,t,g,f,a,d,n,6.07,4.96,,t,g,,,t,l,,d,e
a,2.82,x,h,l,f,s,c,g,4.82,5.88,,y,l,,,t,e,k,g,p
u,10.0,x,t,n,f,a,d,w,8.51,25.07,,,w,,,f,f,,d,p
u,7.36,x,t,y,f,p,,y,5.93,13.44,,,y,,y,t,,,d,e
u,2.74,b,,n,f,a,,k,8.17,2.38,,,n,,w,f,f,k,g,p
a,5.3,x,h,n,f,x,c,w,5.46,5.49,,y,n,,,t,r,,d,e
u,2.95,s,d,w,f,d,d,p,3.13,2.48,,h,w,,,f,f,,g,p
a,8.5,x,w,p,f,s,c,p,4.44,9.58,,,p,,,f,f,,d,p
u,6.49,x,y,n,f,e,c,p,5.6,9.72,,y,n,,,f,f,,d,e
u,13.69,f,g,e,f,e,,w,16.58,15.84,s,y,w,u,w,t,p,,d,p
a,1.19,x,s,y,f,f,f,f,3.66,5.36,,,y,,,f,f,,d,p
a,7.39,x,d,y,t,p,,y,7.84,15.74,,,y,,,f,f,,d,e
u,3.61,x,d,o,f,a,c,o,4.85,7.0,,,o,,,f,f,,g,e
a,4.83,f,l,e,f,x,d,y,6.3,5.06,,,n,,,f,f,,l,p
u,5.97,c,e,y,t,x,c,r,4.55,12.13,,,w,,,f,f,,g,p
a,3.83,b,w,u,f,a,c,g,5.82,6.12,,s,u,,,f,f,,l,p
s,8.87,o,,e,f,f,f,f,3.07,23.86,,g,n,,,f,f,,d,p
u,7.66,f,h,g,f,s,d,w,6.7,12.22,,s,g,,,f,f,,d,e
a,2.68,x,d,w,f,a,d,p,3.67,2.51,,h,w,,,f,f,,g,p
s,4.65,x,,w,f,x,c,n,7.89,9.49,b,,n,,w,t,,,d,e
a,6.07,x,y,n,f,e,c,w,5.51,9.48,,y,n,,,f,f,,d,e
w,3.76,x,s,o,f,a,c,e,4.53,6.23,,,e,,,f,f,,g,e
a,8.27,x,y,n,f,a,c,y,11.11,12.1,,y,n,,,t,,,d,p
a,0.71,x,g,e,f,a,,p,4.2,0.92,,h,k,,,f,f,,d,p
a,6.33,f,t,y,f,x,c,y,5.55,16.38,,,y,,,f,f,,d,p
u,2.54,s,y,n,f,a,d,p,5.44,3.94,,i,n,,,f,f,,h,e
u,5.17,s,,n,f,d,c,w,4.92,8.84,,s,w,,,f,f,,h,e
