Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
34,0,2,1,1,10.346571472072347,87,8,100,1,1
34,1,2,7,2,23.263701238235228,75,24,70,3,0
45,1,2,10,2,25.405877171686747,42,88,71,1,1
29,1,1,12,1,41.653139860706005,22,96,100,2,0
47,0,1,1,2,5.961479804732338,26,1,77,3,0
32,0,3,2,1,22.432213960426587,57,18,75,1,1
38,0,2,13,1,32.425108511810194,36,19,35,1,0
50,1,1,9,3,11.757781081202777,5,92,60,2,0
26,1,2,0,4,32.37339493830364,64,69,80,1,1
36,1,2,10,2,47.18324187748264,5,16,39,1,0
39,0,2,15,2,50.87590655863375,49,88,92,1,1
48,0,2,1,3,2.6225538395337855,21,67,26,2,0
23,1,2,13,3,12.779411412233875,87,93,0,3,0
49,0,2,15,3,16.515355789584873,24,83,33,3,0
24,0,1,6,5,20.956305022248305,78,2,67,1,1
42,0,2,9,5,13.11285787923837,89,86,87,2,1
26,0,3,1,5,11.174399727765627,71,50,20,2,0
32,1,3,5,1,48.727692120875,50,81,32,3,0
34,0,3,14,2,46.92608013852589,87,25,6,1,1
30,0,2,2,4,3.3496250501558738,47,55,64,2,0
48,0,2,3,1,17.940651080242407,69,99,2,2,0
23,0,2,10,2,21.25742768392033,98,63,50,3,0
32,1,2,14,2,12.950726733297168,64,7,78,1,1
26,1,2,12,3,32.44364484940877,59,80,94,1,1
46,0,1,7,3,33.01903733221205,45,94,53,1,1
38,0,2,13,1,43.525211416429855,35,36,79,1,1
41,0,4,2,3,38.04346341926089,57,96,73,2,0
47,0,2,9,2,28.12866634829778,75,26,92,2,0
21,0,1,5,3,33.67933850222099,37,44,58,2,0
29,0,2,0,5,14.699439077150904,10,3,5,1,0
32,1,3,6,3,30.652809498367883,11,85,28,1,1
49,0,2,7,2,25.46136273749596,41,89,16,1,1
44,1,2,10,1,7.66722336581852,38,95,59,1,1
40,1,1,13,4,13.127213829148536,70,87,21,2,0
25,0,2,7,3,15.584672536079301,10,98,23,1,1
47,1,2,2,2,47.2154783526279,35,36,80,1,0
47,1,3,13,4,12.519331969294472,51,95,84,2,1
31,1,2,9,4,15.462195140983408,30,70,50,2,0
31,1,1,0,5,19.467706504471614,32,32,49,2,0
39,1,1,8,4,34.18713693126935,12,30,10,3,0
49,1,1,12,2,6.911919623607026,17,54,55,1,1
49,0,2,5,2,48.6972606246888,40,11,70,2,0
30,1,2,10,3,44.27856100473822,57,10,41,2,0
45,1,2,8,3,29.860803650447508,55,87,38,2,0
42,1,2,6,3,34.701893371247834,23,71,68,3,0
47,0,2,0,4,1.8330235622107995,72,31,47,1,0
44,1,1,11,4,17.947238767422434,30,56,56,2,0
26,0,1,11,5,40.7830115330721,54,37,20,1,0
49,1,3,0,3,4.874148689619295,9,59,81,2,0
20,0,2,5,1,15.11569171053601,59,85,98,2,0
20,0,2,4,5,30.264841416715566,1,97,19,3,0
44,1,3,8,1,13.820651384947091,14,18,14,3,0
46,1,2,1,4,47.69889870722596,2,83,68,2,0
49,0,3,7,5,7.5529315402145185,42,55,76,1,1
44,1,2,10,5,40.86971789538893,30,13,50,2,0
39,0,4,4,2,26.397434595320412,69,32,75,2,0
32,0,1,1,4,38.5165387909978,66,9,61,1,0
28,0,1,12,4,16.535766415572372,55,79,84,2,0
22,0,2,9,5,26.72448011560194,62,63,36,3,0
26,0,4,10,4,43.841767486158815,74,63,5,2,1
25,1,3,10,5,24.34390495615522,14,61,70,2,1
27,0,1,11,2,18.985993095513482,91,67,25,3,0
46,0,2,5,5,27.807769312636804,9,90,7,1,0
28,1,4,9,4,36.868137651818344,37,91,72,1,1
49,0,2,7,4,23.178167274925137,46,42,90,2,0
24,1,3,3,5,47.94384875711365,56,79,3,2,0
20,1,3,1,5,15.747291202117102,49,58,20,2,0
38,1,2,11,5,24.77318030845602,70,51,30,1,1
29,0,2,10,3,38.846382967072074,14,96,20,1,1
31,0,2,4,4,35.45605452478791,17,18,24,1,0
43,0,2,14,4,44.18205262085781,81,20,14,3,0
34,1,3,11,3,50.84045903405544,87,21,34,2,0
46,0,2,1,5,22.34291643975448,1,8,48,2,0
41,1,3,1,2,6.557543989165592,83,8,42,1,1
43,0,1,14,5,2.520794040398399,97,72,40,1,1
28,1,4,5,5,37.343845306988584,42,26,36,2,0
39,0,2,15,3,44.70068356543578,25,16,56,1,0
36,0,1,10,4,12.035629297220934,70,43,41,2,0
49,0,1,9,5,8.922401859495299,37,44,46,2,0
36,1,3,8,4,4.110254576284549,93,7,91,2,1
45,1,2,12,1,42.13514608586032,41,79,60,2,0
39,0,3,3,4,16.569096994629216,4,17,13,2,0
31,0,1,5,2,21.084844637988823,10,32,67,1,0
49,1,1,15,2,26.137509580480614,64,0,52,2,0
26,1,2,6,5,42.97266171047754,33,75,83,2,0
21,1,2,12,4,33.54166107807425,0,5,33,1,0
22,0,2,10,5,31.753231492890563,82,40,75,3,0
36,1,4,5,3,9.783604997795535,1,54,96,1,1
24,0,4,7,2,26.659494585491487,84,4,23,1,1
36,1,4,3,5,36.76905085893276,19,58,19,1,1
43,0,3,11,3,49.66304415152459,60,79,68,3,1
36,1,2,14,5,11.070315460667612,86,17,29,2,0
46,1,2,0,4,1.4771676533613323,20,48,87,2,0
36,1,2,6,4,4.765071679923487,87,81,6,1,1
21,1,3,2,4,19.79262325909896,67,64,35,2,0
21,1,1,13,4,42.02723238729936,11,82,37,2,0
47,0,2,5,1,1.3571040884122523,21,53,79,3,0
41,1,1,1,3,23.836529644292014,19,60,51,1,0
42,1,2,8,3,17.461530767069725,81,7,14,1,1
24,1,3,0,4,3.624085504986379,0,2,45,1,0
20,0,3,5,1,23.511814333630863,29,24,22,3,0
20,1,2,5,4,13.737435366835943,96,68,11,2,0
38,0,4,4,1,18.59424171735032,23,54,92,2,0
49,1,2,15,4,36.28076523921465,13,39,43,2,0
21,1,1,12,2,27.077549195548354,35,82,14,3,0
40,0,2,4,2,7.232371449640667,68,81,92,3,0
31,1,2,0,5,49.07072702118195,74,49,48,2,0
45,0,1,9,4,32.79553828548692,23,94,20,1,1
25,0,4,11,3,39.29342128312658,59,32,14,1,1
42,1,2,4,5,4.960657500418541,94,17,13,3,0
23,0,3,1,2,3.3529189730009445,54,56,41,2,0
42,1,2,6,4,1.9724025184040586,76,15,79,1,1
30,1,1,2,5,10.439701388672223,79,79,14,2,0
43,0,2,12,4,21.720419885924755,23,37,62,3,0
46,0,1,14,2,47.79130667014114,76,40,67,2,0
36,0,2,3,5,23.852982963288817,23,6,26,2,0
50,0,4,2,2,15.51275526862647,53,77,86,3,0
25,1,2,2,1,29.096762675983168,25,52,92,2,0
43,1,2,3,2,6.596728906739462,65,62,52,1,0
24,0,1,4,4,31.47529455024916,79,88,51,3,0
39,1,1,0,3,29.421597716525167,37,31,62,3,0
21,1,1,3,2,40.59965167028548,64,37,72,3,0
25,1,2,11,3,50.3343805808512,74,21,52,2,0
41,1,1,11,1,13.543673585805525,50,15,56,1,0
30,0,2,10,5,26.48282254018803,34,51,51,3,0
50,0,2,7,5,46.44327031595018,42,28,42,1,0
35,1,2,9,3,40.25949422114206,28,15,6,3,0
35,0,1,6,5,25.37031515504038,36,75,41,3,0
20,0,2,8,2,48.26858248073889,80,16,3,2,0
28,0,4,4,3,3.861834675840469,57,100,68,3,0
47,1,2,12,4,47.5499309856292,53,63,4,2,0
46,1,2,14,2,3.5253696191403274,38,90,74,1,1
25,1,1,9,2,28.365237205734218,41,88,91,2,0
35,0,4,3,2,45.52204740005429,27,12,79,1,1
48,1,2,7,4,14.13604717806514,28,71,40,2,0
22,1,2,8,1,24.612424947257928,42,55,93,1,1
39,0,3,12,5,17.21644395684833,2,4,3,2,0
47,1,2,6,3,48.60719585381757,9,11,1,3,0
46,1,2,13,1,42.18227973765454,58,40,66,3,0
23,0,2,15,3,36.45007556631898,13,2,20,2,0
38,0,2,6,5,30.381349330755434,75,98,69,2,1
45,0,4,15,4,42.029589466207405,46,32,42,2,0
22,1,3,4,2,20.613352076177353,41,85,81,3,0
50,1,2,3,2,23.377592755303095,93,49,68,2,0
38,1,1,13,4,37.500086054043074,31,55,8,2,0
39,0,1,9,1,18.88773816468571,31,8,83,3,0
26,0,2,0,1,4.195047102418691,41,81,27,2,0
39,1,3,9,3,4.716730444303574,31,49,25,3,0
28,1,2,9,4,6.768140065285193,25,28,81,3,0
20,0,2,6,1,44.48406616718314,0,38,82,3,0
27,0,3,15,4,24.611321287810217,55,90,2,1,1
26,0,1,0,5,36.64411846723682,1,99,72,2,0
37,0,2,0,2,20.645466780244664,80,44,99,3,0
27,1,1,4,2,13.935547370781725,29,16,94,2,0
20,0,4,12,2,18.359608378110597,70,55,48,2,0
30,1,2,8,4,40.70911726585918,51,97,16,1,1
47,1,1,5,4,32.26080625157191,90,45,62,1,1
44,1,2,2,3,47.8819889978951,8,66,54,2,0
44,0,2,12,2,34.985238928841696,21,68,22,2,0
37,0,3,2,3,29.5090815877347,33,13,33,2,0
42,0,3,6,2,31.509800449291724,48,66,68,2,1
50,0,2,5,3,48.11857197342073,0,22,14,2,0
49,1,1,8,3,40.4100464933353,72,93,46,2,0
29,0,1,5,5,2.202061868321891,83,60,2,2,0
22,0,1,4,3,27.70698480678486,52,22,82,2,0
26,1,2,9,4,35.41692057732824,82,26,27,2,0
47,0,3,6,3,38.434923921957754,99,53,2,1,1
35,1,2,0,2,11.657105965696834,39,9,3,2,0
45,1,1,11,3,44.35886772256761,44,88,87,2,0
35,1,2,6,1,48.79215735875819,67,76,30,2,0
44,1,3,15,2,12.835765292243488,8,15,44,2,0
39,1,3,2,1,45.13077287586229,21,40,58,2,0
47,1,3,13,2,5.84893812580477,17,97,44,1,1
36,1,2,8,4,3.7853418057622594,75,54,74,3,1
21,1,1,14,4,7.461190005137468,42,100,36,1,1
20,0,3,5,4,3.8870539733518,38,60,64,3,0
35,0,2,8,1,43.2506118577888,72,85,8,2,0
49,0,2,12,5,3.9525072229135976,5,80,16,2,0
31,0,3,14,2,14.583209568182774,82,86,64,1,1
24,1,3,4,4,6.187817176792819,47,99,2,1,1
24,0,2,6,2,15.771101815688247,6,48,25,1,0
46,1,2,12,1,5.527973380046024,79,72,52,1,1
42,0,2,15,5,34.4001625371507,68,51,30,2,0
28,0,2,13,1,7.6663408171287575,15,1,25,2,0
28,0,2,3,2,43.59229629194439,0,95,22,2,0
22,1,3,14,5,41.85955253633205,36,49,29,1,1
38,0,3,15,5,1.683084273530471,82,85,9,3,1
35,1,3,6,1,45.78631777575573,36,42,71,2,0
35,1,1,12,4,2.4472158371683532,80,76,88,1,1
22,0,3,0,2,12.98228924787783,63,7,63,2,0
39,0,3,6,3,2.619456888799753,89,58,21,1,1
43,0,2,7,3,17.792174351965798,85,64,14,1,1
41,1,3,4,1,26.69332628566358,61,80,55,2,0
43,0,3,1,2,40.832243450756906,71,11,73,2,0
20,1,2,4,2,17.89907752349181,60,3,19,3,0
43,1,2,5,1,36.27450123365583,32,76,46,2,0
39,0,1,11,2,10.375222855949017,65,94,86,3,0
30,0,2,1,4,38.52992283720632,29,40,52,3,0
36,1,2,13,1,12.799830295461877,19,6,52,3,0
27,1,3,5,4,8.177237797188397,59,86,0,2,0
23,1,2,5,2,10.270442518702716,81,87,1,1,1
25,0,1,0,1,10.10315644409277,73,68,57,1,1
27,1,2,13,2,26.643143968849557,23,68,18,2,0
39,0,1,0,1,43.2398790594073,3,80,61,2,0
49,1,1,13,2,4.9802538496252815,36,29,77,1,1
22,1,1,10,4,36.34781592467113,3,72,71,2,0
35,0,1,15,4,33.717322982642884,76,5,11,1,1
49,1,1,9,2,44.62599759146812,88,88,25,2,0
44,0,2,2,1,13.207378025345362,76,18,26,1,0
22,0,2,13,3,23.505492934251482,17,79,28,2,0
44,1,3,9,4,47.29136872217587,87,84,14,2,1
48,0,2,9,4,33.99967250676586,65,65,45,1,1
37,0,3,14,3,20.438420643079844,47,9,0,2,0
33,1,1,11,2,7.570619142763423,32,15,59,2,0
37,0,2,2,1,14.124250395029552,57,36,91,1,0
21,0,3,3,2,30.060773874469163,82,78,56,1,1
41,0,1,1,5,36.90839737802568,72,76,2,2,0
22,1,2,8,4,7.221094342594674,27,76,17,2,0
35,0,2,9,5,30.9798630022027,34,31,51,2,0
48,1,2,11,4,28.51756394193755,9,46,59,1,0
28,1,1,10,4,26.6977723345354,64,71,33,2,0
23,0,2,13,5,35.506155884100394,41,42,95,1,1
20,0,2,6,5,42.87247975417309,84,81,92,3,1
23,0,1,6,2,17.149484158843418,8,35,88,2,0
20,1,2,14,5,45.45060950554797,59,25,59,3,0
33,0,3,5,2,9.031680630927534,14,9,25,2,0
40,0,4,14,2,9.651193487558217,98,30,71,2,1
35,0,2,2,2,14.338603181196195,56,96,18,2,0
39,0,3,5,4,6.976543477353891,68,28,21,2,0
43,0,2,14,4,12.515961234143878,21,4,92,2,0
27,1,2,13,5,6.32058814514223,63,76,32,2,0
26,1,1,11,4,42.08762084926952,40,0,37,2,0
22,0,3,7,5,7.94844959433123,86,86,34,2,1
36,0,2,7,4,38.36487787799284,70,2,66,2,0
20,0,2,10,1,3.395693395666687,55,66,82,3,0
35,0,1,12,1,48.42601637569576,22,70,9,2,0
31,1,3,8,5,36.55800437638831,24,99,90,2,1
46,0,3,14,4,1.3398274293055892,90,34,14,2,0
38,1,3,0,4,39.1928250100107,5,14,10,2,0
41,1,2,13,2,26.704096038309267,33,66,89,3,0
42,0,1,0,3,39.96825851675599,62,92,23,3,0
41,1,2,2,5,27.124840444529422,8,29,76,2,0
33,1,2,2,3,33.051242881767735,59,81,95,2,0
49,1,1,9,3,40.316582769752024,48,74,100,2,0
25,1,2,7,5,21.255402729392834,96,42,3,2,0
25,0,4,14,4,1.1354074910226044,50,59,12,3,0
32,0,3,9,5,43.497324797259424,59,39,72,1,1
38,1,3,0,3,20.04451813123313,69,64,56,1,1
41,0,4,12,4,25.802136300829154,36,28,97,1,1
27,0,2,1,1,1.3883321076984358,30,73,36,2,0
46,0,2,1,5,25.6046005175049,97,91,47,3,0
46,0,4,2,5,50.324370078586476,40,94,70,1,1
21,0,1,12,4,14.913383040938482,61,18,0,2,0
40,1,3,5,1,20.770913512118902,92,2,59,2,0
49,0,2,0,1,35.35949982343383,57,35,11,2,0
20,0,2,1,4,41.73968337618293,13,42,20,2,0
47,0,2,12,2,21.869581200305014,35,14,10,3,0
34,0,4,15,5,16.483443520064625,35,96,43,1,1
20,1,3,14,5,47.89128999925335,78,40,57,2,0
24,1,1,12,3,34.85724833358346,7,89,43,1,1
47,1,3,15,4,6.951065224657054,25,79,77,2,1
48,1,2,0,3,4.446393906732431,35,35,97,3,0
35,0,2,4,3,25.177492539518454,47,96,33,1,0
38,1,2,15,1,12.004503302363622,84,83,24,1,1
23,0,2,12,5,13.699237668812675,27,76,3,2,0
22,0,2,12,3,44.884608941392415,67,32,63,2,0
36,0,4,6,1,5.4783012158155335,61,4,89,2,0
36,0,3,15,4,36.768205761444484,79,100,15,1,1
31,0,2,7,3,14.557112669029403,85,77,9,1,1
47,1,1,9,5,39.016411070206885,75,90,65,2,1
49,1,4,0,3,37.12056922317723,79,86,34,1,1
48,1,4,6,4,1.3695950722146513,50,13,82,3,0
33,1,3,12,3,26.456770646079956,41,67,5,1,1
40,0,1,4,5,7.965974118902318,100,82,18,2,0
25,1,1,9,1,44.31135152893384,28,46,58,1,0
22,0,2,0,5,44.57929414312033,81,53,52,1,1
47,1,1,2,1,21.9172903746879,9,3,7,2,0
28,0,2,6,2,23.219780922554026,38,93,77,2,0
24,0,4,9,5,16.164146970226355,81,82,9,1,1
43,1,2,0,5,36.83031494800155,0,94,66,1,1
48,0,1,6,4,18.933068151322956,38,94,37,1,1
36,0,2,4,3,14.389623726131688,20,8,28,2,0
33,1,1,0,1,22.61155297522541,64,52,14,2,0
40,0,1,0,1,5.574375919372936,14,76,86,1,1
50,1,2,13,4,38.33016023221019,3,77,22,2,0
22,1,2,0,4,1.629820063589348,59,59,81,2,0
47,1,3,10,3,33.2242530760297,60,45,45,3,0
20,0,4,8,3,10.14322633774362,19,53,82,3,1
39,0,2,10,5,12.620202310720657,9,73,27,2,0
50,0,2,12,2,32.781599932001996,86,94,25,1,1
48,1,3,2,3,50.64717328914536,33,36,9,1,0
40,0,2,14,4,39.88587445362754,47,22,46,2,0
42,1,1,12,3,12.2919816111696,32,26,3,3,0
20,1,3,4,1,9.80123775205669,97,69,54,2,0
22,0,1,10,2,44.311643513383515,60,89,65,2,0
37,1,2,15,5,23.209197396075215,9,65,66,2,0
44,0,2,9,1,7.8526401414077736,53,60,6,2,0
29,0,2,11,1,44.1105711660969,83,76,54,1,1
50,0,2,15,2,41.80461764571307,64,50,79,2,0
41,0,3,8,5,50.19531819485818,76,49,30,1,1
45,0,1,5,4,46.4871843356342,0,18,73,1,0
22,1,2,11,5,43.589516933027085,4,0,18,2,0
27,1,3,8,3,3.6287198905501574,79,39,27,1,1
